segment_id,start_frame,end_frame,start_time_ms,end_time_ms,start_time_sec,end_time_sec,duration_sec,label,word_count,mean_word_prob,is_silence,transcript
33,9324,9379,311111.11,312979.65,311.111,312.980,1.869,out,6,0.986,0,something which is less familiar to
34,9380,9407,312979.65,313913.91,312.980,313.914,0.934,pick_eraser,3,0.85,0,to us and
35,9408,9866,313913.91,329229.23,313.914,329.229,15.315,erase,28,0.907,0,"and we check how well whether they will form a vector space or not, so let me construct some simple examples first that can help us understand or"
36,9867,9912,329229.23,330764.10,329.229,330.764,1.535,drop_eraser,4,0.978,0,or sort of come
37,9913,9937,330764.10,331598.26,330.764,331.598,0.834,explain,6,0.987,0,"come out of our comfort zone,"
38,9938,10033,331598.26,334801.47,331.598,334.801,3.203,out,6,0.994,0,"zone, so here is one example,"
39,10034,10130,334801.47,338038.04,334.801,338.038,3.237,explain,8,0.962,0,"so here is my space, here is my"
40,10131,10490,338038.04,350050.05,338.038,350.050,12.012,write,20,0.878,0,"my set, this must be a very lesser to us, basically I am saying let us again look at the"
41,10491,10523,350050.05,351151.15,350.050,351.151,1.101,explain,3,0.752,0,the two dimensional
42,10524,10633,351151.15,354821.49,351.151,354.821,3.670,out,9,0.913,0,"dimensional vectors in real space, however this time I"
43,10634,10685,354821.49,356556.56,354.821,356.557,1.735,explain,6,0.971,0,I am going to define my
44,10686,11299,356556.56,377043.71,356.557,377.044,20.487,write,42,0.941,0,"my addition and subtraction slightly differently, so this time I am going to say that suppose you want to add two vectors x y and say a b, this is how you are going to add x plus a y plus b,"
45,11300,11396,377043.71,380280.28,377.044,380.280,3.237,explain,13,0.918,0,so this is my definition of addition which is the same as what
46,11397,11682,380280.28,389823.16,380.280,389.823,9.543,write,25,0.961,0,"what we have seen so many times, here is my definition of multiplication by a scalar, notice that I want to define it like this,"
47,11683,11710,389823.16,390757.42,389.823,390.757,0.934,explain,3,0.94,0,I am only
48,11711,11845,390757.42,395261.93,390.757,395.262,4.505,out,10,0.905,0,"only multiplying the second component not the first one, suppose"
49,11846,11904,395261.93,397230.56,395.262,397.231,1.969,explain,9,0.933,0,suppose this is my new definition of addition and
50,11905,11967,397230.56,399332.67,397.231,399.333,2.102,out,6,0.982,0,"and multiplication by a scalar, the"
51,11968,11987,399332.67,400000.00,399.333,400.000,0.667,explain,5,0.987,0,the question we are asking
52,11988,12508,400000.00,417384.05,400.000,417.384,17.384,write,10,0.861,0,"asking is, is V a vector space under these operations,"
53,12509,12541,417384.05,418485.15,417.384,418.485,1.101,explain,0,,1,[silence]
54,12542,13260,418485.15,442475.81,418.485,442.476,23.991,out,71,0.934,0,"so what it means to say is that we are taking a familiar set namely R2, but this time we are trying to come up with a different way of adding things and multiplying the scalars, so that in some sense it will lead us to a different kind of geometry, now under this new set of operations where it is still be a vector space or this one of the"
55,13261,13335,442475.81,444978.31,442.476,444.978,2.503,pick_eraser,10,0.958,0,"the axioms or some of the axioms go wrong, so"
56,13336,13888,444978.31,463430.10,444.978,463.430,18.452,erase,35,0.887,0,"so what we will do is we go through all the axioms one by one and see all of them are followed over, is there a problem somewhere, so let try to analyze is this"
57,13889,13995,463430.10,467000.33,463.430,467.000,3.570,drop_eraser,12,0.969,0,"this a vector space, so first of all we will talk about"
58,13996,14087,467000.33,470070.07,467.000,470.070,3.070,out,4,0.986,0,"about closure, so let"
59,14088,14168,470070.07,472772.77,470.070,472.773,2.703,explain,7,0.971,0,"let us talk about the closure part,"
60,14169,14177,472772.77,473073.07,472.773,473.073,0.300,explain,0,,1,[silence]
61,14178,14210,473073.07,474174.17,473.073,474.174,1.101,explain,3,0.919,0,is closure under
62,14211,14318,474174.17,477777.78,474.174,477.778,3.604,write,2,0.907,0,"under addition,"
63,14319,14338,477777.78,478445.11,477.778,478.445,0.667,pick_eraser,0,,1,[silence]
64,14339,14383,478445.11,479946.61,478.445,479.947,1.502,erase,0,,1,[silence]
65,14384,14405,479946.61,480680.68,479.947,480.681,0.734,drop_eraser,0,,1,[silence]
66,14406,14408,480680.68,480780.78,480.681,480.781,0.100,explain,0,,1,[silence]
67,14409,14443,480780.78,481948.62,480.781,481.949,1.168,out,0,,1,[silence]
68,14444,14600,481948.62,487187.19,481.949,487.187,5.239,explain,6,0.884,0,is closure under addition there or
69,14601,14619,487187.19,487821.15,487.187,487.821,0.634,explain,1,0.982,0,or
70,14620,14708,487821.15,490790.79,487.821,490.791,2.970,out,9,0.984,0,"not, as you can see it is the usual"
71,14709,15153,490790.79,505638.97,490.791,505.639,14.848,explain,47,0.928,0,"usual addition the way we add things, so if I take vector in V, I pick another vector in V, as you can see the only criteria for something being in V is that both of these are real numbers, so I would say closure under addition,"
72,15154,15595,505638.97,520387.05,505.639,520.387,14.748,write,10,0.836,0,"it is the usual addition I am guaranteed the closure,"
73,15596,15634,520387.05,521688.36,520.387,521.688,1.301,explain,0,,1,[silence]
74,15635,15780,521688.36,526559.89,521.688,526.560,4.872,out,14,0.91,0,"so that is something which is not a, which we can check fairly easily,"
75,15781,15801,526559.89,527260.59,526.560,527.261,0.701,explain,4,0.976,0,now we have to
76,15802,15929,527260.59,531531.53,527.261,531.532,4.271,write,7,0.883,0,"to worry about closure under multiplication, is"
77,15930,15951,531531.53,532265.60,531.532,532.266,0.734,explain,0,,1,[silence]
78,15952,16024,532265.60,534701.37,532.266,534.701,2.436,out,6,0.925,0,"it closed under multiplication, well let"
79,16025,16420,534701.37,547914.58,534.701,547.915,13.213,explain,31,0.908,0,"let us see if I pick a vector in R2 in V and multiplied by scalar under this definition, the first component and the second component both belong to R, so"
80,16421,17315,547914.58,577777.78,547.915,577.778,29.863,write,48,0.876,0,"so suppose I pick x, in V and suppose I have a scalar C, then C times x, y which is basically x, C, y both the components, so both x and C, y are in R, this implies this vector x, C, y will also belong to"
81,17316,17357,577777.78,579179.18,577.778,579.179,1.401,explain,5,0.773,0,"to V, hence it is"
82,17358,17717,579179.18,591191.19,579.179,591.191,12.012,out,36,0.908,0,"is closed under multiplication also, so closure is not a problem is closed under both these operations, so maybe it is a vector space, but remember we have to talk about other axioms, so what I"
83,17718,17767,591191.19,592859.53,591.191,592.860,1.668,explain,12,0.904,0,I will do is I will pick one or two axioms as
84,17768,18053,592859.53,602402.40,592.860,602.402,9.543,out,25,0.911,0,as an example just to illustrate the process and then we will see if we are able to randomly come up with an idea of
85,18054,18341,602402.40,612012.01,602.402,612.012,9.610,explain,16,0.95,0,"of which axiom may fail in this case, so let us try the axiom about the"
86,18342,19409,612012.01,647647.65,612.012,647.648,35.636,write,49,0.872,0,"the zero vector, is there a zero vector, well I claim that 0, 0 which is a member of V is the vector, now the easiest way to check is let us perform the addition on defined on V, based on the definition of addition we are going to"
87,19410,19608,647647.65,654287.62,647.648,654.288,6.640,explain,13,0.895,0,"this, so existence of zero vector is guaranteed to us and hence at"
88,19609,20108,654287.62,670970.97,654.288,670.971,16.683,out,35,0.852,0,"at least this axiom about the existence of a zero vector for an identity is also taken care of, so we have a zero vector, what about commutativity, is the addition commutative that means if"
89,20109,20205,670970.97,674207.54,670.971,674.208,3.237,explain,14,0.913,0,if I switch the order of these guys will I still get the same
90,20206,20363,674207.54,679479.48,674.208,679.479,5.272,out,15,0.925,0,"same vector as produced before, instead of checking all these axioms one by one let"
91,20364,20401,679479.48,680747.41,679.479,680.747,1.268,explain,4,0.871,0,let us apply some
92,20402,20437,680747.41,681948.62,680.747,681.949,1.201,out,3,0.985,0,"some common sense,"
93,20438,20489,681948.62,683683.68,681.949,683.684,1.735,explain,6,0.995,0,this addition that we have obtained
94,20490,20507,683683.68,684284.28,683.684,684.284,0.601,out,2,0.83,0,obtained we
95,20508,20541,684284.28,685418.75,684.284,685.419,1.134,explain,6,0.773,0,we have defined for V is
96,20542,20570,685418.75,686386.39,685.419,686.386,0.968,out,5,0.937,0,is the same as we
97,20571,20631,686386.39,688421.76,686.386,688.422,2.035,explain,6,0.909,0,"we had already encountered in R2,"
98,20632,20789,688421.76,693693.69,688.422,693.694,5.272,out,10,0.967,0,"R2, so any axiom which is only based on the"
99,20790,20929,693693.69,698365.03,693.694,698.365,4.671,explain,16,0.88,0,"vectors will still be true in V, because we are just using the same old definition"
100,20930,21099,698365.03,704037.37,698.365,704.037,5.672,out,17,0.923,0,"definition of addition, so if at all things are going to go bad for us it should"
101,21100,21256,704037.37,709275.94,704.037,709.276,5.239,explain,15,0.936,0,should be somewhere where multiplication is involved because scalar multiplication is defined in an unusual
102,21257,21651,709275.94,722455.79,709.276,722.456,13.180,out,41,0.917,0,"unusual way, so if at all there is a problem it should be there, so I will pick one axiom from about multiplication and try to check it whether it is whether it holds or not, so let me try to"
103,21652,21829,722455.79,728395.06,722.456,728.395,5.939,explain,5,0.915,0,"to pick this axiom about,"
104,21830,22642,728395.06,755522.19,728.395,755.522,27.127,write,33,0.908,0,"remember we had one of the axioms about the distributive law that C plus D times U must be C times U plus D times U, where C and D are skaters, question"
105,22643,22802,755522.19,760860.86,755.522,760.861,5.339,explain,14,0.929,0,"question is will this be true here also, so what we do is we"
106,22803,24234,760860.86,808641.98,760.861,808.642,47.781,write,86,0.864,0,"we will make a check, we will do a check and see if it is worth it or not, so first let us have our vector U and let us have our two skaters, so C plus D times U will be C plus D times vector x y and the vector x and based on the multiplication we have been given this would be x times C plus D y, based on the addition we know I can split it as x C y x,"
107,24235,24329,808641.98,811811.81,808.642,811.812,3.170,explain,1,0.643,0,"x,"
108,24330,24394,811811.81,813980.65,811.812,813.981,2.169,pick_eraser,0,,1,[silence]
109,24395,24502,813980.65,817584.25,813.981,817.584,3.604,erase,8,0.658,0,"x naught is pretty much, let me just"
110,24503,24589,817584.25,820487.15,817.584,820.487,2.903,drop_eraser,8,0.697,0,"just close it, it is slow, suppose I"
111,24590,24852,820487.15,829262.60,820.487,829.263,8.775,explain,30,0.94,0,"I come to this point x C plus D y, question is this is my left hand side, will it equal the right hand side, so let us try to"
112,24853,25583,829262.60,853653.65,829.263,853.654,24.391,write,39,0.807,0,"to understand what the right hand side will be, C U plus D, this would be C times x y plus D times x y, based on our multiplication this would be x C y plus x D y,"
113,25584,25895,853653.65,864064.06,853.654,864.064,10.410,explain,26,0.961,0,"now the question is, is this quantity that we have obtained here, is this right hand side equal to the left hand side, as you add"
114,25896,26125,864064.06,871738.41,864.064,871.738,7.674,write,18,0.688,0,"add the way we have defined addition, this would give you 2 x C plus D y and"
115,26126,26702,871738.41,890990.99,871.738,890.991,19.253,explain,32,0.924,0,"if you look at this, definitely these two things need not be equal for all the use of x, so that means this axiom will fail in this particular given set, hence"
116,26703,27272,890990.99,910010.01,890.991,910.010,19.019,write,29,0.828,0,"so what we have obtained is that C plus D U need not be the same as C U plus D U, hence it is not a vector space,"
117,27273,27375,910010.01,913446.78,910.010,913.447,3.437,explain,5,0.971,0,so what it means is
118,27376,27522,913446.78,918351.69,913.447,918.352,4.905,out,14,0.888,0,"that I define, I try to define a new operation on a old beast"
119,27523,27541,918351.69,918985.65,918.352,918.986,0.634,explain,2,0.926,0,beast and
120,27542,27555,918985.65,919452.79,918.986,919.453,0.467,out,1,0.863,0,and
121,27556,27561,919452.79,919652.99,919.453,919.653,0.200,explain,1,0.863,0,and
122,27562,27705,919652.99,924457.79,919.653,924.458,4.805,out,17,0.93,0,"and this failed to be a vector space, what does this mean, does this mean that this"
123,27706,27765,924457.79,926459.79,924.458,926.460,2.002,explain,8,0.958,0,this R2 can only be a vector space
124,27766,27779,926459.79,926926.93,926.460,926.927,0.467,out,2,0.985,0,space in
125,27780,27834,926926.93,928762.10,926.927,928.762,1.835,explain,9,0.991,0,in the usual way of adding things and multiplying
126,27835,27928,928762.10,931898.57,928.762,931.899,3.136,out,4,0.994,0,"multiplying things, because it"
127,27929,27975,931898.57,933466.80,931.899,933.467,1.568,explain,6,0.994,0,it seems to be failing in
128,27976,28257,933466.80,942876.21,933.467,942.876,9.409,out,35,0.919,0,"in the same way of defining things, what does it mean that only this is an operation for which we could not have a vector space structure, but there might still be an operation on"
129,28258,28305,942876.21,944477.81,942.876,944.478,1.602,explain,5,0.914,0,on the same set where
130,28306,28686,944477.81,957190.52,944.478,957.191,12.713,out,39,0.935,0,"where things will turn out to be vector space and it will be different from our usual way of looking at R2, so we can look into that, but the main emphasis of this problem was to show you"
131,28687,28729,957190.52,958625.29,957.191,958.625,1.435,explain,8,0.964,0,you that we have to go through all
132,28730,28768,958625.29,959926.59,958.625,959.927,1.301,out,4,0.987,0,"all the axioms, I"
133,28769,28901,959926.59,964364.36,959.927,964.364,4.438,explain,17,0.918,0,"I was lucky enough to hit in the time what this axiom, which axiom is going wrong,"
134,28902,29077,964364.36,970236.90,964.364,970.237,5.873,out,18,0.873,0,"wrong, partly based on experience, partly luck, but in a sense you can go through all the ten"
135,29078,29184,970236.90,973807.14,970.237,973.807,3.570,pick_eraser,13,0.881,0,ten axioms and if even one of them fails then you are guaranteed
136,29185,30869,973807.14,1030030.03,973.807,1030.030,56.223,erase,21,0.854,0,"guaranteed it is not a vector space. Let me show you something slightly different and see it, it will be nice,"
137,30870,30936,1030030.03,1032265.60,1030.030,1032.266,2.236,drop_eraser,0,,1,[silence]
138,30937,30969,1032265.60,1033366.70,1032.266,1033.367,1.101,explain,0,,1,[silence]
139,30970,31223,1033366.70,1041841.84,1033.367,1041.842,8.475,out,4,0.933,0,so here is a
140,31224,31251,1041841.84,1042776.11,1041.842,1042.776,0.934,explain,1,0.84,0,a
141,31252,31277,1042776.11,1043643.64,1042.776,1043.644,0.868,pick_eraser,2,0.984,0,"new set,"
142,31278,31479,1043643.64,1050383.72,1043.644,1050.384,6.740,erase,5,0.889,0,I will try to define
143,31480,31508,1050383.72,1051351.35,1050.384,1051.351,0.968,drop_eraser,4,0.824,0,define new operations on
144,31509,31523,1051351.35,1051851.85,1051.351,1051.852,0.501,explain,2,0.985,0,"on it,"
145,31524,31550,1051851.85,1052752.75,1051.852,1052.753,0.901,out,5,0.89,0,"it, so here is my"
146,31551,31600,1052752.75,1054421.09,1052.753,1054.421,1.668,explain,4,0.901,0,"my new set V,"
147,31601,31911,1054421.09,1064798.13,1054.421,1064.798,10.377,write,13,0.94,0,"V, which is basically all real numbers which are greater than or equal"
148,31912,31933,1064798.13,1065532.20,1064.798,1065.532,0.734,explain,3,0.93,0,equal to 0
149,31934,32050,1065532.20,1069436.10,1065.532,1069.436,3.904,out,5,0.863,0,or let me actually take
150,32051,32089,1069436.10,1070737.40,1069.436,1070.737,1.301,pick_eraser,4,0.732,0,"take out 0 first,"
151,32090,32189,1070737.40,1074074.07,1070.737,1074.074,3.337,erase,7,0.821,0,"I do want to create a problem,"
152,32190,32224,1074074.07,1075241.91,1074.074,1075.242,1.168,drop_eraser,0,,1,[silence]
153,32225,32279,1075241.91,1077077.08,1075.242,1077.077,1.835,explain,0,,1,[silence]
154,32280,32459,1077077.08,1083083.08,1077.077,1083.083,6.006,write,13,0.954,0,"so all positive real numbers, you can think of it as all positive"
155,32460,32491,1083083.08,1084150.82,1083.083,1084.151,1.068,explain,3,0.991,0,positive real numbers.
156,32492,32701,1084150.82,1091157.82,1084.151,1091.158,7.007,out,15,0.811,0,"Now, I give you a definition to add this, here is how we will add,"
157,32702,33102,1091157.82,1104537.87,1091.158,1104.538,13.380,write,14,0.832,0,"so x you will add into y is x times y, c times x,"
158,33103,33127,1104537.87,1105372.04,1104.538,1105.372,0.834,explain,4,0.98,0,now here is something
159,33128,33273,1105372.04,1110243.58,1105.372,1110.244,4.872,out,14,0.944,0,"something that you should be very very careful about, c is a scalar and"
160,33274,33431,1110243.58,1115515.52,1110.244,1115.516,5.272,explain,16,0.949,0,and x is an object in this set and this is how we are going to
161,33432,33553,1115515.52,1119586.25,1115.516,1119.586,4.071,out,2,0.985,0,to define
162,33554,33577,1119586.25,1120387.05,1119.586,1120.387,0.801,explain,0,,1,[silence]
163,33578,33943,1120387.05,1132599.27,1120.387,1132.599,12.212,write,27,0.909,0,"x, so c has to be from the set of real numbers, remember it has to be a field, so c could be any real number, positive,"
164,33944,33975,1132599.27,1133667.00,1132.599,1133.667,1.068,explain,2,0.996,0,"positive, negative,"
165,33976,34079,1133667.00,1137137.14,1133.667,1137.137,3.470,out,8,0.891,0,"0, anything, so these are the two operations"
166,34080,34125,1137137.14,1138672.01,1137.137,1138.672,1.535,explain,4,0.886,0,"operations we have defined,"
167,34126,34239,1138672.01,1142475.81,1138.672,1142.476,3.804,write,0,,1,[silence]
168,34240,34247,1142475.81,1142742.74,1142.476,1142.743,0.267,explain,0,,1,[silence]
169,34248,34402,1142742.74,1147914.58,1142.743,1147.915,5.172,out,10,0.933,0,"question is, is V a vector space under these operations,"
170,34403,34416,1147914.58,1148381.72,1147.915,1148.382,0.467,explain,1,0.998,0,"operations,"
171,34417,34753,1148381.72,1159626.29,1148.382,1159.626,11.245,write,5,0.898,0,"so is a vector space,"
172,34754,34846,1159626.29,1162729.40,1159.626,1162.729,3.103,explain,0,,1,[silence]
173,34847,34875,1162729.40,1163697.03,1162.729,1163.697,0.968,pick_eraser,0,,1,[silence]
174,34876,34917,1163697.03,1165098.43,1163.697,1165.098,1.401,erase,0,,1,[silence]
175,34918,34949,1165098.43,1166166.17,1165.098,1166.166,1.068,drop_eraser,0,,1,[silence]
176,34950,34991,1166166.17,1167567.57,1166.166,1167.568,1.401,explain,0,,1,[silence]
177,34992,35185,1167567.57,1174040.71,1167.568,1174.041,6.473,write,0,,1,[silence]
178,35186,35214,1174040.71,1175008.34,1174.041,1175.008,0.968,explain,0,,1,[silence]
179,35215,35376,1175008.34,1180413.75,1175.008,1180.414,5.405,out,3,0.984,0,so let me
180,35377,35436,1180413.75,1182415.75,1180.414,1182.416,2.002,explain,6,0.972,0,me just for the sake of
181,35437,35559,1182415.75,1186519.85,1182.416,1186.520,4.104,write,7,0.832,0,"of illustration let me just highlight it,"
182,35560,35577,1186519.85,1187120.45,1186.520,1187.120,0.601,explain,0,,1,[silence]
183,35578,35721,1187120.45,1191925.26,1187.120,1191.925,4.805,out,13,0.85,0,on looking at it and remind ourselves that we are dealing with some
184,35722,35842,1191925.26,1195962.63,1191.925,1195.963,4.037,explain,3,0.943,0,some new operations.
185,35843,35984,1195962.63,1200700.70,1195.963,1200.701,4.738,out,13,0.876,0,"So, what I will do is I will first go through closure and"
186,35985,36089,1200700.70,1204204.20,1200.701,1204.204,3.504,explain,10,0.948,0,"and then we will talk about some of the axioms,"
187,36090,36495,1204204.20,1217751.08,1204.204,1217.751,13.547,write,18,0.861,0,"so here is my closure under addition, so suppose I take two objects x and y belonging to"
188,36496,36525,1217751.08,1218752.09,1217.751,1218.752,1.001,explain,3,0.895,0,"to V, so"
189,36526,36622,1218752.09,1221988.66,1218.752,1221.989,3.237,out,8,0.9,0,so the criteria for them to be V
190,36623,36675,1221988.66,1223757.09,1221.989,1223.757,1.768,explain,1,0.78,0,is
191,36676,36977,1223757.09,1233833.83,1223.757,1233.834,10.077,write,6,0.626,0,is multiplication and for sure if
192,36978,37015,1233833.83,1235101.77,1233.834,1235.102,1.268,explain,7,0.923,0,"if x is positive, y is positive,"
193,37016,37043,1235101.77,1236036.04,1235.102,1236.036,0.934,out,1,0.998,0,"positive,"
194,37044,37090,1236036.04,1237604.27,1236.036,1237.604,1.568,explain,0,,1,[silence]
195,37091,37317,1237604.27,1245178.51,1237.604,1245.179,7.574,write,0,,1,[silence]
196,37318,37384,1245178.51,1247414.08,1245.179,1247.414,2.236,out,7,0.893,0,"therefore x times y would be positive,"
197,37385,37419,1247414.08,1248581.92,1247.414,1248.582,1.168,explain,1,0.976,0,so
198,37420,37875,1248581.92,1263797.13,1248.582,1263.797,15.215,write,13,0.928,0,"so this implies that x plus y will live inside, hence closed under,"
199,37876,37905,1263797.13,1264798.13,1263.797,1264.798,1.001,explain,0,,1,[silence]
200,37906,38066,1264798.13,1270170.17,1264.798,1270.170,5.372,out,3,0.879,0,we try to
201,38067,38128,1270170.17,1272238.91,1270.170,1272.239,2.069,explain,6,0.82,0,to go for closure under multiplication
202,38129,38450,1272238.91,1282982.98,1272.239,1282.983,10.744,write,13,0.865,0,"multiplication and see if that also works there, this closure under scalar multiplication,"
203,38451,38706,1282982.98,1291524.86,1282.983,1291.525,8.542,explain,19,0.789,0,"the reason I am using these special symbols is just to illustrate that we have defined some special operations,"
204,38707,39614,1291524.86,1321821.82,1291.525,1321.822,30.297,write,53,0.88,0,"operations, so here we pick a scalar, it would be any real number and we pick x to be an object from our set, then c times x, we are defining it as x to the c and since x is positive this implies x raised to the c can also be positive"
205,39615,39829,1321821.82,1328995.66,1321.822,1328.996,7.174,explain,26,0.908,0,"positive irrespective of what c is, even if c is negative it will be just 1 over x to the c which is a positive number,"
206,39830,40135,1328995.66,1339205.87,1328.996,1339.206,10.210,write,12,0.863,0,"so this implies that this object is still inside V, hence closed,"
207,40136,40232,1339205.87,1342442.44,1339.206,1342.442,3.237,explain,3,0.896,0,so it is
208,40233,40559,1342442.44,1353353.35,1342.442,1353.353,10.911,out,25,0.801,0,"is closed under both addition as well as multiplication, this theory of defining things but nevertheless as you can check we have shown without any"
209,40560,40679,1353353.35,1357357.36,1353.353,1357.357,4.004,explain,8,0.827,0,"any ambiguity that these operations do hold, now"
210,40680,40749,1357357.36,1359693.03,1357.357,1359.693,2.336,write,11,0.903,0,now what I will do is I will pick two more
211,40750,40811,1359693.03,1361761.76,1359.693,1361.762,2.069,explain,8,0.951,0,more axioms and I will leave the rest
212,40812,41119,1361761.76,1372038.71,1361.762,1372.039,10.277,out,30,0.913,0,"rest to you for exercise just to see whether those axioms will hold or not, so I just pick at random an axiom that we can check, for example let"
213,41120,41254,1372038.71,1376543.21,1372.039,1376.543,4.505,explain,7,0.878,0,"let us talk about the zero element,"
214,41255,41389,1376543.21,1381047.71,1376.543,1381.048,4.505,write,9,0.948,0,"what would be a zero element in this case,"
215,41390,41568,1381047.71,1387020.35,1381.048,1387.020,5.973,explain,6,0.892,0,now remember zero element let me
216,41569,41615,1387020.35,1388588.59,1387.020,1388.589,1.568,write,1,0.983,0,give
217,41616,41706,1388588.59,1391624.96,1388.589,1391.625,3.036,explain,1,0.983,0,give
218,41707,41727,1391624.96,1392325.66,1391.625,1392.326,0.701,write,0,,1,[silence]
219,41728,41857,1392325.66,1396663.33,1392.326,1396.663,4.338,explain,8,0.775,0,so what should be the property of the
220,41858,42097,1396663.33,1404671.34,1396.663,1404.671,8.008,write,15,0.909,0,"the zero element, zero element when added to any other element should produce me the"
221,42098,42262,1404671.34,1410176.84,1404.671,1410.177,5.506,explain,7,0.79,0,"the same element, so for any x"
222,42263,42391,1410176.84,1414481.15,1410.177,1414.481,4.304,write,5,0.897,0,"or all x in V,"
223,42392,42470,1414481.15,1417117.12,1414.481,1417.117,2.636,explain,10,0.937,0,"V, if I can find such a z in V"
224,42471,42561,1417117.12,1420153.49,1417.117,1420.153,3.036,out,9,0.864,0,V which can do this for me then it
225,42562,42740,1420153.49,1426126.13,1420.153,1426.126,5.973,explain,12,0.886,0,"it will be nice, so what is exactly that we want, we"
226,42741,43257,1426126.13,1443376.71,1426.126,1443.377,17.251,write,45,0.905,0,"we want x plus z should be equal to x but the way we have defined x plus z which is x times z should be equal to x for all x, this means x times z minus 1 should be 0 for all x,"
227,43258,43337,1443376.71,1446046.05,1443.377,1446.046,2.669,explain,5,0.956,0,now this can only happen
228,43338,43640,1446046.05,1456156.16,1446.046,1456.156,10.110,write,22,0.897,0,"happen if I take z to be 1, since 1 is positive, so listen we can guarantee that z belongs to V,"
